Variables,Type
AGER_TYP,non-ordinal
ALTERSKATEGORIE_GROB,ordinal
ALTER_HH,ordinal
ANREDE_KZ,non-ordinal
ANZ_HAUSHALTE_AKTIV,numeric
ANZ_HH_TITEL,numeric
ANZ_PERSONEN,numeric
ANZ_TITEL,numeric
BALLRAUM,ordinal
BIP_FLAG,non-ordinal
CAMEO_DEUG_2015,ordinal
CAMEO_DEUINTL_2015,non-ordinal
CJT_GESAMTTYP,non-ordinal
D19_BANKEN_ANZ_12,ordinal
D19_BANKEN_ANZ_24,ordinal
D19_BANKEN_DATUM,ordinal
D19_BANKEN_DIREKT,non-ordinal
D19_BANKEN_GROSS,non-ordinal
D19_BANKEN_LOKAL,non-ordinal
D19_BANKEN_OFFLINE_DATUM,ordinal
D19_BANKEN_ONLINE_DATUM,ordinal
D19_BANKEN_ONLINE_QUOTE_12,ordinal
D19_BANKEN_REST,non-ordinal
D19_BEKLEIDUNG_GEH,non-ordinal
D19_BEKLEIDUNG_REST,non-ordinal
D19_BILDUNG,non-ordinal
D19_BIO_OEKO,non-ordinal
D19_BUCH_CD,non-ordinal
D19_DIGIT_SERV,non-ordinal
D19_DROGERIEARTIKEL,non-ordinal
D19_ENERGIE,non-ordinal
D19_FREIZEIT,non-ordinal
D19_GARTEN,non-ordinal
D19_GESAMT_ANZ_12,ordinal
D19_GESAMT_ANZ_24,ordinal
D19_GESAMT_DATUM,ordinal
D19_GESAMT_OFFLINE_DATUM,ordinal
D19_GESAMT_ONLINE_DATUM,ordinal
D19_GESAMT_ONLINE_QUOTE_12,ordinal
D19_HANDWERK,non-ordinal
D19_HAUS_DEKO,non-ordinal
D19_KINDERARTIKEL,non-ordinal
D19_KONSUMTYP,non-ordinal
D19_KK_KUNDENTYP,non-ordinal
D19_KOSMETIK,non-ordinal
D19_LEBENSMITTEL,non-ordinal
D19_LOTTO,non-ordinal
D19_NAHRUNGSERGAENZUNG,non-ordinal
D19_RATGEBER,non-ordinal
D19_REISEN,non-ordinal
D19_SAMMELARTIKEL,non-ordinal
D19_SCHUHE,non-ordinal
D19_SONSTIGE,non-ordinal
D19_TECHNIK,non-ordinal
D19_TELKO_ANZ_12,ordinal
D19_TELKO_ANZ_24,ordinal
D19_TELKO_DATUM,ordinal
D19_TELKO_MOBILE,non-ordinal
D19_TELKO_OFFLINE_DATUM,ordinal
D19_TELKO_ONLINE_DATUM,ordinal
D19_TELKO_REST,non-ordinal
D19_TIERARTIKEL,non-ordinal
D19_VERSAND_ANZ_12,ordinal
D19_VERSAND_ANZ_24,ordinal
